snum,abvr,roi,lobe,isSideLeft,roiNum,cmap_R,cmap_G,cmap_B,mni_x,mni_y,mni_z
1,Tha_L,Left-Thalamus-Proper,Subcortical,1,10,0.0,0.462745098039216,0.0549019607843137,-11.36566539570353,-19.31479587091974,6.422486747884307
2,Cau_L,Left-Caudate,Subcortical,1,11,0.47843137254902,0.729411764705882,0.862745098039216,-13.297286591404244,6.514359279065161,10.55951673598733
3,Put_L,Left-Putamen,Subcortical,1,12,0.925490196078431,0.0509803921568627,0.690196078431373,-25.70594010800197,0.2936917034855071,-0.3638929798723609
4,Pal_L,Left-Pallidum,Subcortical,1,13,0.0470588235294118,0.188235294117647,1.0,-19.652312599681025,-4.648325358851679,-1.0039872408293462
5,Hip_L,Left-Hippocampus,Subcortical,1,17,0.862745098039216,0.847058823529412,0.0784313725490196,-25.276620958185205,-22.999492127983743,-14.025224310140516
6,Amy_L,Left-Amygdala,Subcortical,1,18,0.403921568627451,1.0,1.0,-23.084598698481557,-4.975596529284161,-19.676789587852497
7,Acc_L,Left-Accumbens-area,Subcortical,1,26,1.0,0.647058823529412,0.0,-8.870246085011189,11.964205816554824,-6.610738255033553
8,Tha_R,Right-Thalamus-Proper,Subcortical,0,49,0.0,0.462745098039216,0.0549019607843137,12.06800939306359,-17.57198338150289,6.556900289017335
9,Cau_R,Right-Caudate,Subcortical,0,50,0.47843137254902,0.729411764705882,0.862745098039216,13.730590961761294,8.884511394360743,10.075318655851675
10,Put_R,Right-Putamen,Subcortical,0,51,0.925490196078431,0.0509803921568627,0.690196078431373,26.37934060423717,2.4560611758806488,-1.4115582299109946
11,Pal_R,Right-Pallidum,Subcortical,0,52,0.0509803921568627,0.188235294117647,1.0,20.726070038910507,-3.568093385214013,-1.0914396887159512
12,Hip_R,Right-Hippocampus,Subcortical,0,53,0.862745098039216,0.847058823529412,0.0784313725490196,26.69617391304348,-21.405913043478265,-14.230956521739131
13,Amy_R,Right-Amygdala,Subcortical,0,54,0.403921568627451,1.0,1.0,24.00777453838677,-3.7288629737609256,-19.84499514091351
14,Acc_R,Right-Accumbens-area,Subcortical,0,58,1.0,0.647058823529412,0.0,9.298507462686558,12.098331870061457,-7.0948200175592575
15,Bkst_L,ctx-lh-bankssts,Temporal,1,1001,0.0980392156862745,0.392156862745098,0.156862745098039,-53.06252676659528,-44.020556745182006,7.543040685224838
16,CaACg_L,ctx-lh-caudalanteriorcingulate,Cingulate,1,1002,0.490196078431373,0.392156862745098,0.627450980392157,-5.636752136752136,17.270655270655283,27.947293447293447
17,CaMFr_L,ctx-lh-caudalmiddlefrontal,Frontal,1,1003,0.392156862745098,0.0980392156862745,0.0,-36.01494486360998,12.142048752176436,47.96329077190947
18,Cun_L,ctx-lh-cuneus,Occipital,1,1005,0.862745098039216,0.0784313725490196,0.392156862745098,-6.04071406201065,-82.24710303789539,18.197619793297832
19,Ethr_L,ctx-lh-entorhinal,Temporal,1,1006,0.862745098039216,0.0784313725490196,0.0392156862745098,-22.73816912335144,-4.897595034910779,-34.41078355314197
20,Fusi_L,ctx-lh-fusiform,Temporal,1,1007,0.705882352941177,0.862745098039216,0.549019607843137,-35.171988699597634,-41.82612790000856,-22.19801386867563
21,InPar_L,ctx-lh-inferiorparietal,Parietal,1,1008,0.862745098039216,0.235294117647059,0.862745098039216,-41.1945608348486,-68.8590402403352,35.437267768203014
22,InTem_L,ctx-lh-inferiortemporal,Temporal,1,1009,0.705882352941177,0.156862745098039,0.470588235294118,-51.44421251094202,-35.214463672479965,-21.762440239714493
23,IstCg_L,ctx-lh-isthmuscingulate,Cingulate,1,1010,0.549019607843137,0.0784313725490196,0.549019607843137,-7.13362864525655,-45.68106312292359,18.304909560723516
24,LOcc_L,ctx-lh-lateraloccipital,Occipital,1,1011,0.0784313725490196,0.117647058823529,0.549019607843137,-31.24211509447518,-87.84963000215532,0.08003448523601264
25,LObFr_L,ctx-lh-lateralorbitofrontal,Frontal,1,1012,0.137254901960784,0.294117647058824,0.196078431372549,-23.891773897058826,30.627757352941188,-17.64912683823529
26,Ling_L,ctx-lh-lingual,Occipital,1,1013,0.882352941176471,0.549019607843137,0.549019607843137,-11.845540151713308,-70.47174993460634,-5.177478420088931
27,MObFr_L,ctx-lh-medialorbitofrontal,Frontal,1,1014,0.784313725490196,0.137254901960784,0.294117647058824,-6.932009838369638,33.22329585382994,-16.039529163738578
28,MTem_L,ctx-lh-middletemporal,Temporal,1,1015,0.627450980392157,0.392156862745098,0.196078431372549,-58.88881474685128,-23.90716490115939,-12.74718491950955
29,ParHip_L,ctx-lh-parahippocampal,Temporal,1,1016,0.0784313725490196,0.862745098039216,0.235294117647059,-22.504380475594488,-33.26533166458073,-15.11076345431789
30,ParCnt_L,ctx-lh-paracentral,Frontal,1,1017,0.235294117647059,0.862745098039216,0.235294117647059,-6.382488479262676,-28.4326375711575,58.38059094605583
31,ParOpr_L,ctx-lh-parsopercularis,Frontal,1,1018,0.862745098039216,0.705882352941177,0.549019607843137,-47.873788290034895,18.01434664598682,13.880767739433892
32,ParOrb_L,ctx-lh-parsorbitalis,Frontal,1,1019,0.0784313725490196,0.392156862745098,0.196078431372549,-42.117596932253946,38.14145717937794,-13.541116318704724
33,ParTrg_L,ctx-lh-parstriangularis,Frontal,1,1020,0.862745098039216,0.235294117647059,0.0784313725490196,-46.47525722684958,35.28980891719746,1.7006369426751604
34,PerCal_L,ctx-lh-pericalcarine,Occipital,1,1021,0.470588235294118,0.392156862745098,0.235294117647059,-10.0861153262519,-81.49658573596358,5.069044006069802
