mni_x,mni_y,mni_z,x,y,z,roiNum,snum,abvr,lobe,isSideLeft
-23.4339,39.087900000000005,25.165136255,-23.4339,39.087900000000005,25.165136255,1027,40,RMFr_L,Frontal,1
21.707949999999997,30.042450000000002,22.9021188,21.707949999999997,30.04245,22.9021188,2028,75,SpFr_R,Frontal,0
24.49635,31.18205,26.183199465,24.49635,31.18205,26.183199465,2027,74,RMFr_R,Frontal,0
20.942,14.81145,-13.117784575,20.942,14.81145,-13.117784575,51,10,Put_R,Subcortical,0
22.92865,15.07415,-9.786631603,22.92865,15.07415,-9.786631603,51,10,Put_R,Subcortical,0
23.081699999999998,15.46965,-9.1537107645,23.0817,15.46965,-9.1537107645,51,10,Put_R,Subcortical,0
23.55175,14.366,-15.279427585,23.55175,14.366,-15.279427585,2012,59,LObFr_R,Frontal,0
28.4863,14.147400000000001,-13.730734044999998,28.4863,14.1474,-13.730734044999998,2035,82,Ins_R,Subcortical,0
32.2651,14.1141,-10.453067166,32.2651,14.1141,-10.453067166,2035,82,Ins_R,Subcortical,0
21.707949999999997,30.042450000000002,22.9021188,21.707949999999997,30.04245,22.9021188,2028,75,SpFr_R,Frontal,0
24.49635,31.18205,26.183199465,24.49635,31.18205,26.183199465,2027,74,RMFr_R,Frontal,0
20.942,14.81145,-13.117784575,20.942,14.81145,-13.117784575,51,10,Put_R,Subcortical,0
22.92865,15.07415,-9.786631603,22.92865,15.07415,-9.786631603,51,10,Put_R,Subcortical,0
23.55175,14.366,-15.279427585,23.55175,14.366,-15.279427585,2012,59,LObFr_R,Frontal,0
28.4863,14.147400000000001,-13.730734044999998,28.4863,14.1474,-13.730734044999998,2035,82,Ins_R,Subcortical,0
32.2651,14.1141,-10.453067166,32.2651,14.1141,-10.453067166,2035,82,Ins_R,Subcortical,0
26.37445,-12.4955,-26.001588849999997,26.37445,-12.4955,-26.001588849999997,53,12,Hip_R,Subcortical,0
30.684649999999998,-15.12135,-26.13825903,30.68465,-15.12135,-26.13825903,53,12,Hip_R,Subcortical,0
34.682249999999996,-17.3,-24.864589495,34.682249999999996,-17.3,-24.864589495,2016,63,ParHip_R,Temporal,0
37.150800000000004,20.2633,34.064332119999996,37.1508,20.2633,34.064332119999996,2027,74,RMFr_R,Frontal,0
38.859849999999994,23.39555,38.267234835,38.859849999999994,23.39555,38.267234835,2027,74,RMFr_R,Frontal,0
31.86775,14.439499999999999,-0.780550293,31.86775,14.4395,-0.780550293,2035,82,Ins_R,Subcortical,0
-3.4159,60.44735,-19.4885824794403,-3.4159,60.44735,-19.4885824794403,1014,27,MObFr_L,Frontal,1
-9.216735,66.51155,-15.73887844376295,-9.216735,66.51155,-15.73887844376295,1032,45,Fpole_L,Frontal,1
-16.4548,69.7546,-9.17255440732574,-16.4548,69.7546,-9.17255440732574,1027,40,RMFr_L,Frontal,1
-22.82835,69.24865,-0.9700617137572951,-22.82835,69.24865,-0.9700617137572952,1027,40,RMFr_L,Frontal,1
-29.27975,64.67075,7.120762660566345,-29.27975,64.67075,7.120762660566345,1027,40,RMFr_L,Frontal,1
-12.255755,45.6044,48.327517505016644,-12.255755,45.6044,48.32751750501664,1028,41,SpFr_L,Frontal,1
-18.24905,37.85025,52.099633505004746,-18.24905,37.85025,52.099633505004746,1028,41,SpFr_L,Frontal,1
-25.7115,29.61815,53.08004922356465,-25.7115,29.61815,53.08004922356465,1028,41,SpFr_L,Frontal,1
-31.414099999999998,21.1241,55.246129620793596,-31.4141,21.1241,55.2461296207936,1003,17,CaMFr_L,Frontal,1
-31.59235,12.62489,59.2493614966577,-31.59235,12.62489,59.2493614966577,1003,17,CaMFr_L,Frontal,1
-31.01665,2.3078449999999995,63.2547144361391,-31.01665,2.3078449999999995,63.2547144361391,1003,17,CaMFr_L,Frontal,1
-31.316499999999998,-10.463145,65.8661967828807,-31.3165,-10.463145,65.8661967828807,1024,37,PreCt_L,Frontal,1
-19.8341,47.2761,43.367153046814195,-19.8341,47.2761,43.367153046814195,1027,40,RMFr_L,Frontal,1
-26.4207,36.415350000000004,46.914339956881946,-26.4207,36.41535,46.914339956881946,1027,40,RMFr_L,Frontal,1
-33.745850000000004,28.2394,47.97831566575475,-33.745850000000004,28.2394,47.97831566575475,1003,17,CaMFr_L,Frontal,1
-38.477199999999996,21.12225,50.51931639575735,-38.4772,21.12225,50.51931639575735,1003,17,CaMFr_L,Frontal,1
-39.475300000000004,11.527795,53.80275504706965,-39.4753,11.527795,53.80275504706965,1003,17,CaMFr_L,Frontal,1
-40.2425,-0.7856299999999998,57.71519253119485,-40.2425,-0.7856299999999998,57.71519253119485,1024,37,PreCt_L,Frontal,1
-42.0617,-13.620625,59.6794883195846,-42.0617,-13.620625,59.6794883195846,1024,37,PreCt_L,Frontal,1
-26.700499999999998,48.144549999999995,34.7909618527371,-26.7005,48.144549999999995,34.7909618527371,1027,40,RMFr_L,Frontal,1
-30.049999999999997,39.0436,41.839676887258804,-30.049999999999997,39.0436,41.8396768872588,1027,40,RMFr_L,Frontal,1
-36.60365,30.33625,44.122751353426,-36.60365,30.33625,44.122751353426,1003,17,CaMFr_L,Frontal,1
-42.1275,21.29145,46.3895842340047,-42.1275,21.29145,46.3895842340047,1003,17,CaMFr_L,Frontal,1
-44.78855,10.64703,49.9066826538113,-44.78855,10.64703,49.9066826538113,1003,17,CaMFr_L,Frontal,1
-46.6221,-1.682235,53.22536236516425,-46.6221,-1.682235,53.22536236516425,1024,37,PreCt_L,Frontal,1
