Region,Feature,U_statistic,AUC,p_value,hup_n,mni_n,p_value_bonferroni_threshold,significant_bonferroni,p_value_fdr,significant_fdr
ctx-lh-parsopercularis,deltaRel_mean,50.0,0.5952380952380952,0.535841867111217,7,12,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-parsopercularis,thetaRel_mean,50.0,0.5952380952380952,0.535841867111217,7,12,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-parsopercularis,alphaRel_mean,54.0,0.6428571428571429,0.34023973962054455,7,12,0.00021645021645021645,False,0.6978025798544186,False
ctx-lh-parsopercularis,betaRel_mean,28.0,0.3333333333333333,0.2614114471699611,7,12,0.00021645021645021645,False,0.6784948797332698,False
ctx-lh-parsopercularis,gammaRel_mean,52.0,0.6190476190476191,0.4319679288719536,7,12,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-parsopercularis,entropy_1min_mean,30.0,0.35714285714285715,0.34023973962054455,7,12,0.00021645021645021645,False,0.6978025798544186,False
ctx-lh-parsopercularis,entropy_fullts_mean,30.0,0.35714285714285715,0.34023973962054455,7,12,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-superiorfrontal,deltaRel_mean,54.0,0.5625,0.693123182287269,6,16,0.00021645021645021645,False,0.9116478404975775,False
ctx-rh-superiorfrontal,thetaRel_mean,46.0,0.4791666666666667,0.9144251001836141,6,16,0.00021645021645021645,False,0.9601463551927949,False
ctx-rh-superiorfrontal,alphaRel_mean,67.0,0.6979166666666666,0.17750257997936017,6,16,0.00021645021645021645,False,0.5925155925155926,False
ctx-rh-superiorfrontal,betaRel_mean,43.0,0.4479166666666667,0.7468135579590688,6,16,0.00021645021645021645,False,0.9325077399380806,False
ctx-rh-superiorfrontal,gammaRel_mean,45.0,0.46875,0.8577325667108949,6,16,0.00021645021645021645,False,0.9596774193548387,False
ctx-rh-superiorfrontal,entropy_1min_mean,66.0,0.6875,0.20302092128717517,6,16,0.00021645021645021645,False,0.5936434533840185,False
ctx-rh-superiorfrontal,entropy_fullts_mean,66.0,0.6875,0.20302092128717517,6,16,0.00021645021645021645,False,0.5936434533840185,False
ctx-lh-supramarginal,deltaRel_mean,85.0,0.7264957264957265,0.08252326938191985,9,13,0.00021645021645021645,False,0.4887042084801915,False
ctx-lh-supramarginal,thetaRel_mean,84.0,0.717948717948718,0.0950279527318241,9,13,0.00021645021645021645,False,0.5038067844029868,False
ctx-lh-supramarginal,alphaRel_mean,42.0,0.358974358974359,0.285318068487978,9,13,0.00021645021645021645,False,0.6865466022991971,False
ctx-lh-supramarginal,betaRel_mean,34.0,0.2905982905982906,0.10900678981544218,9,13,0.00021645021645021645,False,0.5038067844029868,False
ctx-lh-supramarginal,gammaRel_mean,63.0,0.5384615384615384,0.7893827550332574,9,13,0.00021645021645021645,False,0.9416814094058678,False
ctx-lh-supramarginal,entropy_1min_mean,71.0,0.6068376068376068,0.42293676385905665,9,13,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-supramarginal,entropy_fullts_mean,71.0,0.6068376068376068,0.42293676385905665,9,13,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-parstriangularis,deltaRel_mean,61.0,0.5545454545454546,0.6985353583033387,10,11,0.00021645021645021645,False,0.9116478404975775,False
ctx-rh-parstriangularis,thetaRel_mean,44.0,0.4,0.4596715909585638,10,11,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-parstriangularis,alphaRel_mean,66.0,0.6,0.4596715909585638,10,11,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-parstriangularis,betaRel_mean,59.0,0.5363636363636364,0.8053241706182483,10,11,0.00021645021645021645,False,0.9443141289990628,False
ctx-rh-parstriangularis,gammaRel_mean,48.0,0.43636363636363634,0.6471563379312674,10,11,0.00021645021645021645,False,0.8898399646554926,False
ctx-rh-parstriangularis,entropy_1min_mean,54.0,0.4909090909090909,0.9719131339533064,10,11,0.00021645021645021645,False,0.9847014646632183,False
